date,oi_binance_usd,oi_bybit_usd,oi_kraken_usd,oi_okx_usd,open_interest_usd,oi_venue_count,btc_close,estimated_long_liquidated_usd,estimated_short_liquidated_usd,observed_liquidated_long_usd,observed_liquidated_short_usd,observed_long_event_count,observed_short_event_count,unknown_notional_event_count,liquidation_observation_available,observed_liquidation_dominance_pct,estimated_liquidation_dominance_pct,liquidated_interest_long_usd,liquidated_interest_short_usd,liquidation_dominance_pct,liquidation_source,liquidation_dominance_14d_pct
2023-07-23,3017656020.6432,1884089344.0257,73232001.8944,,4974977366.563299,3,30076.449999999997,0.0,682312.6154878042,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,682312.6154878042,-100.0,estimated,6.589298655997217
2023-07-24,3259946304.0211997,1827255823.2762,70241319.785,,5157443447.082399,3,29170.3,71632466.85225648,0.0,0.0,0.0,0,0,0,False,0.0,100.0,71632466.85225648,0.0,100.0,estimated,35.364574084475784
2023-07-25,3164433814.128,1938630786.152908,71478265.5759,,5174542865.856808,3,29221.0,0.0,93745.7209770382,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,93745.7209770382,-100.0,estimated,35.46695870676063
2023-07-26,3205098050.064,1929859128.4434,71685072.36,,5206642250.8674,3,29338.35,0.0,2127304.9794502794,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,2127304.9794502794,-100.0,estimated,34.786142452776545
2023-07-27,3210358296.8899,1924954993.92,73737152.192,,5209050443.001901,3,29212.85,129694.36531337975,17209.860902023716,0.0,0.0,0,0,0,False,0.0,76.56995806670783,129694.36531337975,17209.860902023716,76.56995806670783,estimated,94.60262284433387
2023-07-28,3163137889.1707,1956358574.8254,70687865.58,,5190184329.5761,3,29305.7,0.0,14032.742583692938,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,14032.742583692938,-100.0,estimated,92.75193826181557
2023-07-29,3174042758.6384997,1958380994.3808,74009393.0625,,5206433146.0817995,3,29344.85,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,92.75193826181557
2023-07-30,3111452128.5671997,1940010799.3227,72939906.4345,,5124402834.3244,3,29278.35,206142.7121582104,0.0,0.0,0.0,0,0,0,False,0.0,100.0,206142.7121582104,0.0,100.0,estimated,92.76675997565242
2023-07-31,3181606376.1103997,1930032885.8764,71359024.2732,,5182998286.259999,3,29229.25,0.0,21258.453235075947,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,21258.453235075947,-100.0,estimated,92.48802390429482
2023-08-01,3229629482.808,2095987705.4739,70807967.0875,,5396425155.3694,3,29704.800000000003,49560802.96889132,638750.1094923308,0.0,0.0,0,0,0,False,0.0,97.45515619035507,49560802.96889132,638750.1094923308,97.45515619035507,estimated,92.3095790806693
2023-08-02,3277287659.0023,1931660939.1178,67597281.7425,,5276545879.8626,3,29172.55,5510879.289161616,7056092.013169553,0.0,0.0,0,0,0,False,0.0,-12.295824402187508,5510879.289161616,7056092.013169553,-12.295824402187508,estimated,82.93956957675796
2023-08-03,3255702349.4422,1966475266.9119997,67763325.9796,,5289940942.3338,3,29184.6,34894.826180264536,109717.47100918973,0.0,0.0,0,0,0,False,0.0,-51.74016752593401,34894.826180264536,109717.47100918973,-51.74016752593401,estimated,84.06052481721467
2023-08-04,3337671072.9915,1991751818.0,68685162.94749999,,5398108053.939,3,29101.8,252434.91953906615,0.0,0.0,0.0,0,0,0,False,0.0,100.0,252434.91953906615,0.0,100.0,estimated,84.42296083658306
2023-08-05,3273269298.9402,1993752806.6970005,68311469.7552,,5335333575.392401,3,29064.75,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,84.41509148587049
2023-08-06,3231340144.3904004,1983992775.7482,66245468.9937,,5281578389.1323,3,29075.800000000003,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,85.33083947264237
2023-08-07,3259237478.3854003,1989426309.6,68374521.1215,,5317038309.1069,3,29203.85,1169948.3526371755,94368.76226301618,0.0,0.0,0,0,0,False,0.0,85.07197899152607,1169948.3526371755,94368.76226301618,85.07197899152607,estimated,69.65127318615862
2023-08-08,3692341497.056,2054393122.5645,62386639.6794,,5809121259.299901,3,29766.2,0.0,25119652.090311866,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,25119652.090311866,-100.0,estimated,23.534283770983397
2023-08-09,3485701990.8191996,2078454009.137,74847897.1716,,5639003897.1278,3,29577.4,1847043.0170212477,1504280.3354185387,0.0,0.0,0,0,0,False,0.0,10.227681591905341,1847043.0170212477,1504280.3354185387,10.227681591905341,estimated,25.87330096755252
2023-08-10,3492180962.1127,2054848881.6318,75270015.612,,5622299859.356501,3,29445.85,4008187.996887793,29038.882620609023,0.0,0.0,0,0,0,False,0.0,98.5614441057053,4008187.996887793,29038.882620609023,98.5614441057053,estimated,28.816481217152834
2023-08-11,3478157228.6995,2100013214.5974,72075108.7446,,5650245552.0415,3,29414.7,556210.2622639572,0.0,0.0,0.0,0,0,0,False,0.0,100.0,556210.2622639572,0.0,100.0,estimated,29.24014861614563
2023-08-12,3447975264.9884996,2068332452.3928,72005041.935,,5588312759.3163,3,29425.35,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,29.24014861614563
2023-08-13,3361315805.1695,2066609056.3839,71154367.31,,5499079228.8634,3,29300.65,42470.09747885443,0.0,0.0,0.0,0,0,0,False,0.0,100.0,42470.09747885443,0.0,100.0,estimated,29.121432736579685
2023-08-14,3158584371.624,2068933296.6902,73199707.405,,5300717375.7192,3,29423.8,446020.9464261336,137895.30314774654,0.0,0.0,0,0,0,False,0.0,52.7688077705057,446020.9464261336,137895.30314774654,52.7688077705057,estimated,29.2901366693272
2023-08-15,3332383660.5983996,2048429747.104,72404948.482,,5453218356.184401,3,29191.6,9547529.025100317,0.0,0.0,0.0,0,0,0,False,0.0,100.0,9547529.025100317,0.0,100.0,estimated,-18.507123018321483
2023-08-16,3360525742.1736,2076053163.3463123,71059850.90120001,,5507638756.421113,3,28721.1,21986814.75983033,0.0,0.0,0.0,0,0,0,False,0.0,100.0,21986814.75983033,0.0,100.0,estimated,19.281319847234396
2023-08-17,2833487284.3056,1952232769.7653,47252585.7359,,4832972639.8068,3,26612.1,770805619.6822231,0.0,0.0,0.0,0,0,0,False,0.0,100.0,770805619.6822231,0.0,100.0,estimated,93.58000951338096
2023-08-18,2494163845.9458,1449196062.691,45231417.7476,,3988591326.3844,3,26044.55,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,93.5780739594507
2023-08-19,2286459798.7896,1441936480.9488,44969248.409,,3773365528.1474,3,26089.4,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,93.5780739594507
2023-08-20,2348538211.0287,1461385149.651,46052135.9308,,3855975496.6105,3,26182.45,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,93.5780739594507
2023-08-21,2376660207.7474003,1521970896.2766,42337958.8434,,3940969062.8674,3,26119.2,92434.10665421275,0.0,0.0,0.0,0,0,0,False,0.0,100.0,92434.10665421275,0.0,100.0,estimated,93.59164612978745
2023-08-22,2267885798.77,1514104010.94,42687077.637600005,,3824676887.3476,3,26044.2,2492576.768893267,0.0,0.0,0.0,0,0,0,False,0.0,100.0,2492576.768893267,0.0,100.0,estimated,99.58912784519373
2023-08-23,2216733384.4992,1472394065.8014,42537332.2224,,3731664782.5230002,3,26426.800000000003,412.53990390492817,2441440.3437663317,0.0,0.0,0,0,0,False,0.0,-99.9662109124867,412.53990390492817,2441440.3437663317,-99.9662109124867,estimated,99.35800704398997
2023-08-24,2239786412.0324,1499094448.7664,42495714.844,,3781376575.6428003,3,26167.3,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,99.3619844202775
