date,directional_bias,directional_bias_score,volatility_potential,volatility_potential_score,directional_volatility_score,leverage_fuel_score,new_oi_addition_score,oi_zone_reactivation_score,oi_anchor_direction_score,estimated_oi_anchor_price,volatility_trigger_score,realized_volatility_regime_score,cascade_activation_score,liquidation_impulse_score,funding_crowding_score,signal_confidence_score,heatmap_open_interest_usd,heatmap_oi_venue_count,heatmap_liquidation_dominance_pct,heatmap_liquidated_interest_long_usd,heatmap_liquidated_interest_short_usd,liquidation_pressure_downside_score,liquidation_pressure_upside_score,liquidation_pressure_net_score,liquidation_wall_downside_distance_bps,liquidation_wall_downside_amount_score,liquidation_wall_upside_distance_bps,liquidation_wall_upside_amount_score,oi_area_downside_distance_bps,oi_area_downside_amount_score,oi_area_upside_distance_bps,oi_area_upside_amount_score,cascade_closeness_amount_score,cascade_closeness_amount_direction_score,cascade_threshold_state,btc_forward_jump_1d_pct,btc_forward_jump_3d_pct,btc_forward_jump_7d_pct,btc_forward_abs_jump_7d_pct,btc_forward_jump_direction,regime
2024-08-27,neutral,6.6381850507,high,75.9618774082,0,93.2926538945,61.7589403612,89.5115094825,27.6447699129,62940.2288098,48.8283436987,86.4481310474,-0,-55.154099371,57.9729143615,70.0641025641,9947971890.84,4,99.9973219137,289980454.15,3883.01537376,64.7364992043,56.5424237366,-8.19407546769,-1336.41722993,68.3569140663,1278.8955809,44.735781266,-722.178719633,14.3049184812,774.270958678,100,90.1154028737,16.9856588851,cascade-ready,-0.630635940355,-0.630635940355,-3.56389293503,3.56389293503,downside,high-fuel neutral
2024-08-28,neutral,9.65033778353,high,65.3806680144,0,92.7902912764,20.3035380909,88.6350510424,28.1021321565,62827.6574249,0,79.9916159495,-0,-18.0884685413,42.8797607263,70.0641025641,9392913870.79,4,0,0,0,64.6173471523,50.8480953034,-13.7692518489,-1282.36767172,63.8554253694,1349.26131058,42.0287541651,-664.297107065,13.0403869672,841.488482975,100,88.4321561162,14.4187937607,cascade-ready,0.530757498729,0.530757498729,-2.95187256397,2.95187256397,downside,high-fuel neutral
2024-08-29,upside,12.1270336613,high,65.356986161,65.356986161,90.933700712,0,89.5186198113,27.9400906287,62859.8370696,0,79.2613620918,0,-21.8672220198,68.8835470193,70.0641025641,9613900958.67,4,0,0,0,66.9776276177,58.8346540664,-8.14297355135,-1327.91230597,62.7109847333,1289.96792266,41.4008804969,-713.070805897,12.7802919508,784.847917158,100,89.8577737031,15.1243661762,cascade-ready,-0.382481052944,-3.46424333145,-5.35625185425,5.35625185425,downside,high upside volatility potential
2024-08-30,neutral,2.94872552457,elevated,54.4738706347,0,87.867175069,0,88.9229701106,28.1864654335,62835.5829865,0,56.9411093499,-0,-58.6958567766,38.6536574758,70.0641025641,9535715061.71,4,94.4663124018,6772463.56781,192715.628695,68.0022414434,57.2860168195,-10.7162246239,-1293.84281099,61.1467335597,1334.3221219,40.1653242797,-676.585821114,12.6033100095,827.217682655,100,88.7985211347,12.9181536125,cascade-ready,-0.261268471969,-3.09359469205,-8.74606362835,8.74606362835,downside,high-fuel neutral
2024-08-31,neutral,6.39262602587,elevated,53.9486041555,0,82.2477272542,0,88.4903068135,28.3986417456,62813.2846497,0,56.9762564829,-0,-27.8644505273,35.9823928937,70.0641025641,9475611852.52,4,1.99963704508,9936.58330718,9546.98270353,69.846297632,56.4880462274,-13.3582514045,-1272.39460051,59.7056942312,1362.24499549,39.4027053519,-653.616956043,12.238464134,853.891269956,100,88.1099145707,10.3581498529,cascade-ready,-2.83974557997,-2.83974557997,-8.507021321,8.507021321,downside,high-fuel neutral
2024-09-01,neutral,-7.5495280302,elevated,58.5569939893,0,72.1286158676,0,82.688439389,29.2389516665,62624.1110347,3.14967201773,63.0250207731,-0,-69.1552369161,65.2677728269,95.0641025641,9361929491.55,4,100,32068401.0182,0,100,47.6451211393,-52.3548788607,-1016.45298148,58.1045093126,1695.44880647,38.3503651034,-379.529357121,12.0141585888,1172.18734055,100,100,-29.0057675237,cascade-ready,3.21994269061,3.21994269061,-5.832915707,5.832915707,downside,high-fuel neutral
2024-09-02,neutral,11.823010191,elevated,59.0863574224,0,72.8866503123,0,89.0370846282,28.3387461955,62833.8250423,9.60752682758,66.6081857546,1.98445031136,5.16144587647,20.5878714901,82.5641025641,9624000088.02,4,-100,0,1021950.02047,66.2451771096,63.6432746601,-2.60190244942,-1297.72982682,57.4371221012,1329.26171597,37.9098735904,-680.748422096,11.9451551949,822.383682352,100,88.921539396,16.3567961025,cascade-ready,-2.80856203721,-5.01826191254,-8.77045477999,8.77045477999,downside,high-fuel neutral
2024-09-03,neutral,-11.5209704081,elevated,51.9118119373,0,64.977056534,0,83.4391076828,29.1618491593,62651.7586178,3.67039531009,48.9512320376,-0,-68.476749748,21.4721791533,95.0641025641,9396327483.89,4,85.5252944267,2954598.9807,230518.164464,99.2645473568,50.4659052087,-48.7986421481,-1044.75108932,55.4299397822,1658.60822771,36.6235407173,-409.833769745,11.6047144084,1136.9950316,100,99.2645473568,-26.7256338606,cascade-ready,0.857935072643,-6.13417484887,-6.13417484887,6.13417484887,downside,neutral
2024-09-04,neutral,2.67549379882,elevated,47.1336712202,0,64.7229648349,0,85.2809564535,28.9193488938,62706.5581752,0,49.2452309432,0,-68.7194937534,43.0002388993,70.0641025641,9446518306.73,4,100,131990524.168,0,60.6218105304,56.4575021097,-4.16430842069,-1121.84335466,54.1300137628,1558.24379027,35.6865529933,-492.391792095,11.4278127503,1041.12095991,100,82.8463261073,15.6273095775,cascade-ready,-3.10485151385,-6.93263243639,-6.93263243639,6.93263243639,downside,neutral
2024-09-05,downside,-13.1109726059,elevated,55.6523023175,-55.6523023175,56.0772450353,0,75.2805640038,30.3627710949,62408.2242646,13.9702240135,57.2014449295,-0,-77.7716983194,23.6667658367,95.0641025641,9311041352.17,4,98.8530802493,4790059.38661,27627.501222,97.0446998374,47.3239578203,-49.7207420171,-836.362090336,52.3320192793,1929.90450572,38.5683103991,-186.670219437,10.939354932,525.600386698,64.6994255452,97.0446998374,-27.7118034479,cascade-ready,-3.95043609751,-3.95043609751,-3.95043609751,3.95043609751,downside,elevated downside volatility potential
